,image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mre,qual_score,mae,score
218,Image_2939,384,24,3,24,32,28,4.29,4,1.33,1.08,0.38,27.0,0.8
219,Image_2938,384,24,3,79,68,74,15.61,50,1.16,0.29,0.62,2.0,0.6
220,Image_2937,384,24,3,44,44,44,12.12,20,1.0,0.9,0.35,37.0,0.6
221,Image_2936,384,24,3,84,54,69,12.91,45,1.56,0.1,0.44,2.0,0.6
222,Image_2935,384,24,3,83,41,62,2.41,38,2.02,1.17,0.36,7.0,0.8
223,Image_2933,384,24,3,53,36,44,10.11,20,1.47,0.12,0.49,6.0,0.4
224,Image_2932,384,24,3,94,54,74,11.58,50,1.74,0.17,0.49,5.0,0.6
225,Image_2931,384,24,3,59,49,54,26.1,30,1.2,0.2,0.51,11.0,0.8
226,Image_2930,384,24,3,35,46,40,4.48,16,1.31,0.15,0.48,8.0,0.3
227,Image_2929,384,24,3,37,35,36,2.45,12,1.06,0.43,0.51,23.0,0.7
228,Image_2927,384,24,3,30,46,38,4.29,14,1.53,0.09,0.49,5.0,0.4
229,Image_2926,384,24,3,94,53,74,6.51,50,1.77,0.33,0.51,12.0,0.6
230,Image_2924,384,24,3,47,45,46,2.54,22,1.04,0.02,0.43,1.0,0.4
231,Image_2923,384,24,3,53,34,44,8.82,20,1.56,1.61,0.34,53.0,0.7
232,Image_2922,384,24,3,75,66,70,14.52,46,1.14,0.19,0.34,3.0,0.4
233,Image_2921,384,24,3,67,55,61,12.4,37,1.22,0.18,0.44,6.0,0.4
234,Image_2920,384,24,3,40,79,60,10.44,36,1.98,0.32,0.71,6.0,0.5
235,Image_2918,384,24,3,47,49,48,1.7,24,1.04,0.43,0.57,19.0,0.5
236,Image_2916,384,24,3,17,18,18,2.78,6,1.06,0.87,0.52,94.0,0.8
237,Image_2915,384,24,3,45,48,46,3.97,22,1.07,0.05,0.47,3.0,0.6
238,Image_2914,384,24,3,33,76,54,3.09,30,2.3,0.17,0.33,4.0,0.3
239,Image_2913,384,24,3,69,72,70,7.9,46,1.04,2.75,0.59,11.0,0.7
240,Image_2912,384,24,3,34,36,35,1.03,11,1.06,0.05,0.5,4.0,0.2
241,Image_2910,384,24,3,49,177,113,1.35,89,3.61,0.3,0.68,6.0,0.4
242,Image_2908,384,24,3,44,53,48,4.41,24,1.2,0.03,0.39,1.0,0.2
243,Image_2248,384,24,3,38,56,47,2.96,23,1.47,0.31,0.52,24.0,0.3
244,Image_2225,384,24,3,94,109,102,13.89,78,1.16,0.1,0.57,2.0,0.7
245,Image_2209,384,24,3,100,148,124,8.56,100,1.48,0.1,0.76,1.0,0.8
246,Image_2203,384,24,3,64,100,82,8.41,58,1.56,0.1,0.43,2.0,0.7
247,Image_2195,384,24,3,122,115,118,8.88,94,1.06,0.18,0.75,2.0,0.8
248,Image_2177,384,24,3,79,128,104,7.82,80,1.62,0.07,0.53,2.0,0.5
249,Image_2165,384,24,3,81,104,92,3.98,68,1.28,0.43,0.58,18.0,0.4
250,Image_2155,384,24,3,101,95,98,3.77,74,1.06,0.28,0.66,7.0,0.6
251,Image_2152,384,24,3,72,127,100,26.52,76,1.76,0.12,0.47,3.0,0.8
252,Image_2142,384,24,3,76,87,82,15.41,58,1.14,0.27,0.53,13.0,0.6
253,Image_2141,384,24,3,83,109,96,7.47,72,1.31,0.0,0.55,0.0,0.5
254,Image_2138,384,24,3,53,83,68,7.41,44,1.57,0.26,0.4,6.0,0.3
255,Image_2140,384,24,3,77,73,75,17.72,51,1.05,0.16,0.51,4.0,0.3
