image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score
Image_5917,384,24,3,53,74,64,1.57,40,1.4,7,0.36,0.61
Image_5915,384,24,3,49,56,52,2.87,28,1.14,6,0.32,0.56
Image_5602,384,24,3,54,74,64,1.57,40,1.37,14,0.39,0.53
Image_5601,384,24,3,54,74,64,1.67,40,1.37,9,0.29,0.52
Image_5600,384,24,3,21,24,22,1.05,2,1.14,21,0.12,0.49
Image_5598,384,24,3,58,79,68,1.71,44,1.36,29,0.55,0.65
Image_5596,384,24,3,35,49,42,4.73,18,1.4,12,0.23,0.52
Image_5595,384,24,3,69,92,80,4.59,56,1.33,0,0.0,0.54
Image_5594,384,24,3,60,77,68,2.89,44,1.28,27,0.64,0.74
Image_5593,384,24,3,49,65,57,3.83,33,1.33,15,0.39,0.53
Image_5592,384,24,3,37,21,29,1.18,5,1.76,26,0.22,0.49
Image_5591,384,24,3,65,47,56,2.98,32,1.38,26,0.44,0.56
Image_5590,384,24,3,74,102,88,7.77,64,1.38,7,0.29,0.47
Image_5588,384,24,3,36,42,39,2.51,15,1.17,25,0.34,0.53
Image_5587,384,24,3,57,72,64,2.1,40,1.26,13,0.44,0.56
Image_5585,384,24,3,44,59,52,3.3,28,1.34,29,0.47,0.58
Image_5584,384,24,3,37,27,32,3.11,8,1.37,25,0.33,0.54
Image_5583,384,24,3,52,68,60,2.11,36,1.31,3,0.19,0.46
Image_5582,384,24,3,37,38,38,2.05,14,1.03,9,0.23,0.38
Image_5581,384,24,3,72,101,86,4.3,62,1.4,8,0.48,0.71
Image_5580,384,24,3,42,48,45,1.94,21,1.14,23,0.35,0.59
Image_5576,384,24,3,44,48,46,4.38,22,1.09,27,0.29,0.58
Image_5575,384,24,3,69,73,71,3.01,47,1.06,3,0.32,0.55
Image_5574,384,24,3,20,21,20,1.09,4,1.05,29,0.24,0.52
Image_5573,384,24,3,42,43,42,2.25,18,1.02,5,0.16,0.4
Image_5572,384,24,3,60,96,78,7.49,54,1.6,2,0.27,0.49
Image_5571,384,24,3,51,65,58,1.59,34,1.27,8,0.28,0.48
Image_5568,384,24,3,38,49,44,9.86,20,1.29,13,0.3,0.54
Image_5567,384,24,3,45,41,43,6.13,19,1.1,26,0.34,0.53
Image_5566,384,24,3,60,74,67,9.57,43,1.23,3,0.08,0.35
Image_5563,384,24,3,17,12,14,2.03,10,1.42,50,0.21,0.69
Image_5390,384,24,3,84,53,68,10.3,44,1.58,1,0.07,0.46
Image_5386,384,24,3,51,77,64,1.97,40,1.51,3,0.17,0.46
Image_5382,384,24,3,48,65,56,2.34,32,1.35,5,0.34,0.63
Image_5380,384,24,3,94,76,85,6.04,61,1.24,5,1.11,0.35
Image_5378,384,24,3,76,73,74,2.42,50,1.04,3,0.21,0.6
Image_5376,384,24,3,100,77,88,6.25,64,1.3,1,0.08,0.6
Image_5375,384,24,3,100,79,90,7.9,66,1.27,17,0.48,0.57
Image_5372,384,24,3,57,47,52,5.72,28,1.21,7,0.18,0.46
Image_5371,384,24,3,53,52,52,3.28,28,1.02,2,0.04,0.36
Image_5369,384,24,3,42,50,46,5.72,22,1.19,2,0.07,0.44
Image_5368,384,24,3,26,24,25,1.72,1,1.08,15,0.09,0.51
Image_5367,384,24,3,19,31,25,0.47,1,1.63,4,0.03,0.47
Image_5366,384,24,3,26,37,32,1.56,8,1.42,7,0.11,0.42
Image_5364,384,24,3,49,56,52,2.57,28,1.14,16,0.41,0.52
Image_5363,384,24,3,31,40,36,3.71,12,1.29,1,0.03,0.44
Image_5361,384,24,3,29,43,36,4.15,12,1.48,3,0.12,0.43
Image_5360,384,24,3,29,40,34,2.55,10,1.38,21,0.24,0.46
Image_5359,384,24,3,17,24,20,0.64,4,1.41,9,0.21,0.57
Image_5358,384,24,3,55,73,64,3.13,40,1.33,25,0.5,0.6
Image_5149,384,24,3,25,32,28,2.16,4,1.28,17,0.18,0.53
Image_5143,384,24,3,23,45,34,8.85,10,1.96,17,0.21,0.59
Image_5142,384,24,3,22,29,26,3.27,2,1.32,4,0.02,0.5
Image_4970,384,24,3,35,46,40,1.87,16,1.31,7,0.14,0.55
Image_4969,384,24,3,38,28,33,5.18,9,1.36,28,0.2,0.47
Image_4967,384,24,3,65,99,82,3.4,58,1.52,2,0.09,0.6
Image_4966,384,24,3,60,83,72,6.22,48,1.38,10,0.18,0.48
Image_4965,384,24,3,75,120,98,17.03,74,1.6,6,0.63,0.64
Image_4964,384,24,3,41,55,48,8.38,24,1.34,22,0.3,0.46
Image_4963,384,24,3,19,31,25,2.49,1,1.63,38,0.15,0.5
Image_4962,384,24,3,37,41,39,5.26,15,1.11,15,0.33,0.53
Image_4961,384,24,3,10,17,14,1.97,10,1.7,70,0.16,0.67
Image_4960,384,24,3,59,84,72,19.51,48,1.42,10,0.25,0.51
Image_4959,384,24,3,38,62,50,1.65,26,1.63,6,0.16,0.51
Image_4958,384,24,3,44,60,52,11.44,28,1.36,15,0.11,0.4
Image_4957,384,24,3,26,35,30,9.81,6,1.35,12,0.11,0.48
