object,size,image_name,method,precision,recall,f1_score,computation_time
Nuts,68,Image_5,otm,0.931,0.871,0.9,6.607
Nuts,68,Image_5,gmms,1.0,0.935,0.967,12.171
Nuts,68,Image_5,hdbscan,1.0,0.581,0.735,17.958
Nuts,68,Image_6,otm,1.0,0.828,0.906,7.444
Nuts,68,Image_6,gmms,1.0,0.828,0.906,12.161
Nuts,68,Image_6,hdbscan,1.0,0.655,0.792,18.389
Nuts,68,Image_7,otm,1.0,0.938,0.968,3.644
Nuts,68,Image_7,gmms,1.0,0.938,0.968,6.861
Nuts,68,Image_7,hdbscan,1.0,0.625,0.769,11.699
Nuts,68,Image_8,otm,1.0,0.92,0.958,8.402
Nuts,68,Image_8,gmms,1.0,0.92,0.958,11.601
Nuts,68,Image_8,hdbscan,1.0,0.6,0.75,19.873
Nuts,68,Image_9,otm,1.0,0.909,0.952,5.846
Nuts,68,Image_9,gmms,0.95,0.864,0.905,9.798
Nuts,68,Image_9,hdbscan,1.0,0.455,0.625,15.64
Pins2,28,Image_0,otm,0.957,0.94,0.949,79.612
Pins2,28,Image_0,gmms,0.97,0.952,0.961,31.836
Pins2,28,Image_0,hdbscan,1.0,0.168,0.287,27.95
Pins2,28,Image_1,otm,0.987,0.937,0.961,83.605
Pins2,28,Image_1,gmms,0.974,0.925,0.948,33.393
Pins2,28,Image_1,hdbscan,1.0,0.176,0.299,26.515
Pins2,28,Image_10,otm,0.987,0.934,0.96,96.789
Pins2,28,Image_10,gmms,0.994,0.94,0.966,43.992
Pins2,28,Image_10,hdbscan,1.0,0.09,0.165,31.276
Pins2,28,Image_2,otm,0.974,0.948,0.961,83.229
Pins2,28,Image_2,gmms,0.96,0.935,0.948,34.642
Pins2,28,Image_2,hdbscan,1.0,0.245,0.394,27.805
Pins2,28,Image_3,otm,0.98,0.937,0.958,75.267
Pins2,28,Image_3,gmms,0.98,0.937,0.958,32.073
Pins2,28,Image_3,hdbscan,1.0,0.195,0.326,24.035
Pins2,28,Image_4,otm,0.986,0.947,0.966,69.49
Pins2,28,Image_4,gmms,0.959,0.921,0.94,29.86
Pins2,28,Image_4,hdbscan,1.0,0.105,0.19,22.64
Pins2,28,Image_5,otm,0.981,0.95,0.965,94.614
Pins2,28,Image_5,gmms,0.981,0.95,0.965,38.626
Pins2,28,Image_5,hdbscan,1.0,0.131,0.232,29.488
Pins2,28,Image_6,otm,0.987,0.975,0.981,91.533
Pins2,28,Image_6,gmms,0.968,0.956,0.962,36.994
Pins2,28,Image_6,hdbscan,1.0,0.127,0.225,30.558
Pins2,28,Image_7,otm,0.962,0.926,0.943,91.43
Pins2,28,Image_7,gmms,1.0,0.963,0.981,42.635
Pins2,28,Image_7,hdbscan,1.0,0.093,0.169,30.224
Pins2,28,Image_8,otm,0.987,0.932,0.958,85.374
Pins2,28,Image_8,gmms,0.987,0.932,0.958,36.562
Pins2,28,Image_8,hdbscan,1.0,0.019,0.037,27.594
Pins2,28,Image_9,otm,0.98,0.931,0.955,82.993
Pins2,28,Image_9,gmms,0.987,0.937,0.961,39.699
Pins2,28,Image_9,hdbscan,0.909,0.063,0.118,25.986
Pins2,384,Image_0,otm,1.0,0.75,0.857,4.058
Pins2,384,Image_0,gmms,1.0,0.75,0.857,10.831
Pins2,384,Image_0,hdbscan,1.0,0.312,0.476,24.256
Pins2,384,Image_1,otm,1.0,0.667,0.8,3.112
Pins2,384,Image_1,gmms,1.0,0.667,0.8,6.899
Pins2,384,Image_1,hdbscan,1.0,0.444,0.615,18.939
Pins2,384,Image_10,otm,1.0,0.727,0.842,2.988
Pins2,384,Image_10,gmms,1.0,0.727,0.842,6.788
Pins2,384,Image_10,hdbscan,1.0,0.455,0.625,14.355
Pins2,384,Image_2,otm,1.0,0.917,0.957,3.389
Pins2,384,Image_2,gmms,1.0,0.917,0.957,12.063
Pins2,384,Image_2,hdbscan,1.0,0.417,0.588,27.507
Pins2,384,Image_3,otm,1.0,0.889,0.941,2.889
Pins2,384,Image_3,gmms,1.0,0.889,0.941,9.221
Pins2,384,Image_3,hdbscan,1.0,0.556,0.714,24.672
Pins2,384,Image_4,otm,1.0,0.5,0.667,2.4
Pins2,384,Image_4,gmms,1.0,0.5,0.667,3.086
